epoch,epoch_display,train_loss,val_loss,lr
0,1,0.4338241690943191,0.41502561784805136,0.00029939614409928584
1,2,0.18659170213583354,0.323003943930281,0.0002975894382897944
2,3,0.14395394975000675,0.1564135161486078,0.0002945944291043779
3,4,0.13891526137117868,0.1813850374297893,0.00029043523059596053
4,5,0.1283031991562686,0.3274152310604745,0.0002851453301853628
5,6,0.1010866720934172,0.16458679513728364,0.0002787673190402799
6,7,0.10168195594180454,0.1831370525537653,0.0002713525491562421
7,8,0.10347483035277676,0.13984648534592162,0.00026296071990054165
8,9,0.0853197826995506,0.15689422649906037,0.0002536593973480297
9,10,0.08449904902561291,0.1684916634508904,0.00024352347027881003
10,11,0.07761553906508394,0.14214878529310226,0.00023263454721781537
11,12,0.08059980611767138,0.150571456932007,0.0002210802993709498
12,13,0.08036987387292736,0.13853557629788177,0.00020895375474808855
13,14,0.07415807356795033,0.14405483261067817,0.0001963525491562421
14,15,0.07572413965298964,0.09329427414117976,0.00018337814009344714
15,16,0.07179546441222813,0.14629906178154845,0.00017013498987264832
16,17,0.06770973419910437,0.12751806685899167,0.00015672972455257723
17,18,0.0673547765693149,0.11824295495418792,0.00014327027544742277
18,19,0.07108088403761208,0.13344288395440324,0.00012986501012735168
19,20,0.07013623343707921,0.13988514656716206,0.00011662185990655284
20,21,0.06696760010074924,0.12709947120636067,0.0001036474508437579
21,22,0.06130496593745979,0.1379023646103575,9.10462452519115e-05
22,23,0.06605361735409086,0.12059944614450982,7.89197006290502e-05
23,24,0.06391138772482986,0.12823587117042948,6.736545278218463e-05
24,25,0.06151782985854972,0.14337860380715511,5.647652972118998e-05
25,26,0.0595382077244667,0.13040172800104669,4.6340602651970306e-05
26,27,0.0602666331460705,0.11657082051672835,3.703928009945837e-05
27,28,0.06245812256862451,0.12046018750109572,2.86474508437579e-05
28,29,0.05735725429546726,0.12042347516151185,2.1232680959720086e-05
29,30,0.05757267071722864,0.11831495958439847,1.4854669814637146e-05
30,31,0.05716694587164813,0.11642093631498357,9.564769404039419e-06
31,32,0.05568583668754981,0.12329825758934021,5.405570895622014e-06
32,33,0.056967802412875065,0.12253973648903217,2.41056171020555e-06
33,34,0.05711072072520986,0.1185935856179988,6.038559007141398e-07
34,35,0.054624813029894956,0.12364654797822872,0.0
